Country
Djibouti
Seychelles
DR Congo
Comoros
Togo
Sierra Leone
Libya
Tanzania
South Africa
Cabo Verde
Congo
Kenya
Liberia
Central African Republic
Mauritania
Uganda
Algeria
Sudan
Morocco
Eritrea
Angola
Mozambique
Ghana
Madagascar
Cameroon
Côte d'Ivoire
Namibia
Niger
Gambia
Botswana
Gabon
Sao Tome & Principe
Lesotho
Burkina Faso
Nigeria
Mali
Guinea-Bissau
Malawi
Zambia
Senegal
Chad
Somalia
Zimbabwe
Equatorial Guinea
Guinea
Rwanda
Mauritius
Benin
Burundi
Tunisia
Eswatini
Ethiopia
South Sudan
Egypt
